hazard_group,code,variable_name,resolution,baseline_dataset,baseline_period,future_dataset,future_period,future_scenario,cmip_version,downscaling_bias_correction,gcm_ensemble,evidence_status,notes
Changed rainfall,R-03,Annual rainfall coefficient of variation,0.05deg (CRI grid),Observed rainfall (Dilley 2005 / Thornton),Historic,N/A (current used as proxy for future),N/A,N/A,N/A (observational),N/A,N/A,verified-current,"Bert/Philip: CV of annual rainfall > global 75th pct (28%); current variability used as proxy for future because little info on variability change"
Changed rainfall,R-04,Intra-annual variability,sub-basin,PCR-GLOBWB 2 (obs-forced),1960-2014 (GCM hist),Aqueduct 4.0 (CMIP6),2030 (.2050.2080),SSP1-2.6/3-7.0/5-8.5 (slice TBC),CMIP6 (confirm v4.0),bias-corrected to obs,"5 GCMs (MPI-ESM1-2-HR, MRI-ESM2-0, UKESM1-0-LL, +2)",verified-candidate (confirm current version),"30-yr periods centred 2030/2050/2080; CRI uses 2030; confirm Aqueduct version"
Changed rainfall,R-05,Seasonal variability,sub-basin,PCR-GLOBWB 2 (obs-forced),1960-2014 (GCM hist),Aqueduct 4.0 (CMIP6),2030 (.2050.2080),SSP1-2.6/3-7.0/5-8.5 (slice TBC),CMIP6 (confirm v4.0),bias-corrected to obs,"5 GCMs (MPI-ESM1-2-HR, MRI-ESM2-0, UKESM1-0-LL, +2)",verified-candidate (confirm current version),"Within-year variability; confirm Aqueduct version"
High temperature,T-01,Extreme humid heat days,0.05deg (~5 km),Tuholske et al. 2023 GEHE (WBGTmax),1983-2016,N/A (historic layer),N/A,N/A,N/A (observational),pending (GEHE derivation not verified this pass),N/A,verified-current,"ISO thresholds WBGTmax >28/30/32C; manually masked"
High temperature,T-03,LGP-linked temperature stress,0.05deg (CRI grid),Thornton baseline (Jones & Thornton 2009/2013/2015),~2000s,Downscaled CMIP5 (Jones & Thornton 2009/2013/2015),2050s,RCP8.5,CMIP5 (provenance uncertain),present (technique unconfirmed),17 CMIP5 GCMs (Philip Thornton pers. comm.),conflicted,"Wording verbatim identical to R-01 -- appears duplicate; clarify with Bert. Lineage as R-01 (CMIP5/RCP8.5)."
High temperature,T-02,Growing-season Tmax flip over 30C,0.05deg (CRI grid),Thornton baseline (Jones & Thornton 2009/2013/2015),~2000s,Downscaled CMIP5 (Jones & Thornton 2009/2013/2015),2050s,RCP8.5,CMIP5 (provenance uncertain),present (technique unconfirmed),17 CMIP5 GCMs (Philip Thornton pers. comm.),conflicted,"Philip: Tmax flip <30C to >30C in primary growing season, masked LGP>40 days; 30C critical threshold (Boote 1998; Prasad 2008). CMIP5/RCP8.5/17-GCM per email."
Salinity,S-01,Global map of salt-affected soils,pending,FAO GSASmap (Omuto et al. 2020),1970-2005,N/A (static),N/A,N/A,N/A,N/A,N/A,verified-current,"ECe>2 and/or ESP>15% and/or pH>8.2; manually masked"
Salinity,S-02,Global soil salinity,pending,ISRIC Global Soil Salinity (Ivushkin et al. 2019),1986-2016,N/A (static),N/A,N/A,N/A,N/A,N/A,verified-current,"ECe index classes; manually masked"
Soil water,W-01,Water retention at 1500 kPa 30-60 cm,pending,ISRIC WoSIS (Batjes et al. 2024),1918-2013,N/A,N/A,N/A,N/A,none (observational; pedotransfer RF used for soil mapping, not a climate downscaling/bias step),N/A,verified-current,"Very long heterogeneous window. Note: Bert says CCC soil-water uses a soil water-balance model (waterlogging/water stress), MapSPAM crops -- confirm relation to this row."
Soil water,W-02,Available water capacity 30-60 cm,250 m (source),SoilGrids250m (Hengl et al. 2017),1950-2016,N/A,N/A,N/A,N/A,N/A,N/A,verified-current,"Field capacity minus wilting point"
Soil water,W-03,Rooting zone water storage capacity,pending,Stocker et al. 2023,2003-2018,N/A,N/A,N/A,N/A,N/A,N/A,verified-current,"Model-based root-zone storage"
Soil water,W-04,Plant-available soil water,pending,Gupta et al. 2023,1979-2016,N/A,N/A,N/A,N/A,N/A,N/A,verified-current,"Soil water retention model + Ksat + 37-yr rainfall-gap"
Irrigation,I-01,Area equipped with irrigation,pending,Mehta et al. 2024,2000-2015,N/A,N/A,N/A,N/A,N/A,N/A,verified-current,"National/subnational stats, 243 countries"
