"annex_sequence","source_page","hazard_group","mapped_code","mapped_working_name","definition_text","processing_text","source_text","reference_year_text","production_specific_text"
"11","11","Changed rainfall","R-03","Annual rainfall coefficient of variation","Areas where the coefficient of variation of annual rainfall (the standard deviation divided by the mean, expressed as a percentage) is currently greater than the 75th percentile for the globe (28%).","","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","Historic","No"
"12","11","Changed rainfall","R-04","Intra-annual variability","Intra-annual variability for three 30-year periods centred on milestone years 2030, 2050, and 2080. Measures the average between-year variability of available water supply, including both renewable surface and groundwater supplies. Higher values indicate wider variations in available supply from year to year.","","Aqueduct 4.0 (Kuzma et al., 2023; WRI, 2023)","2030","No"
"13","11","Changed rainfall","R-05","Seasonal variability","Seasonal variability measures the average within-year variability of available water supply, including both renewable surface and groundwater supplies. Higher values indicate wide variations in the available supply within a year.","","Aqueduct 4.0 (Kuzma et al., 2023; WRI, 2023)","2030","No"
"14","12","High temperature","T-01","Extreme humid heat days","Annual Global High-Resolution High Temperature Extreme Heat Estimates provide global 0.05 degrees (~5 km) gridded annual counts of the number of days on which the maximum Wet Bulb Globe Temperature (WBGTmax) exceeded dangerous hot-humid heat thresholds for the period 1983 to 2016. The thresholds are based on the International Standards Organization (ISO) criteria for occupational heat-related risk, defined as days where WBGTmax > 28, 30, and 32 degrees Celsius. This data set also includes the annual rate of change in the number of extreme humid-heat days that exceeded these thresholds. GEHE has a wide array of applications for mapping and quantifying extreme humid-heat dynamics over a 34-year time period and is the highest resolution data set of its kind to date.","Manually masked","Global High-Resolution High Temperature Extreme Heat Estimates (Tuholske et al., 2023)","1983-2016","No"
"15","12","High temperature","T-03","LGP-linked temperature stress","Defined by the length of the growing period (LGP). LGP 5% is set by the average number of days per year, in which a growing day is one in which the average air temperature is greater than 6 degrees C and the ratio of actual to potential evapotranspiration exceeds 0.35. Areas where length of growing period flips from >120 days per year to <120 days per year.","Manually masked","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","2050","No"
"16","12","High temperature","T-02","Growing-season Tmax flip over 30C","Areas where the average maximum daily temperature flips from <30 degrees C to > 30 degrees C during the primary (or main) growing season, masked for areas where the length of the growing period is > 40 days per year.","Manually masked","CGIAR Research Program on Climate Change, Agriculture and Food Security (Ericksen et al., 2011)","2050","No"
"17","12","Salinity","S-01","Global map of salt-affected soils","The Global Map of Salt-Affected Soils represents the spatial distribution of salt-affected soils with electrical conductivity ECe>2 dS/m and/or exchange sodium percentage EC>15% and/or pH>8.2.","Manually masked","FAO Global Soil Information System, Global Soil-affected Soils (FAO, nd; Omuto et al., 2020)","1970-2005","No"
"18","12","Salinity","S-02","Global soil salinity","Global Soil Salinity combines soil property map. Salinity is represented by index values of electrical conductivity (ECe) with values representing slightly saline (2-4), moderately saline (4-8), highly saline (8-16), and extremely saline (>16).","Manually masked","ISRIC World Soil Information, Global Soil Salinity (ISRIC, 2019; Ivushkin et al., 2019)","1986-2016","No"
"19","12-13","Soil water","W-01","Water retention volume at 1500 kPa and 30 to 60 cm depth","Water retention volume at 1500 kPa and depth from 30 to 60 cm represents the capacity of a soil to hold water (and air), which depends on the amounts and types of organic matter in sand, silt, and clay, as well as soil structure, or the physical arrangement of the particles. The data extracted from the WoSIS Soil Profile Database, together with data estimated by a random forest pedotransfer function (PTF-RF).","","ISRIC World Soil Information System (Batjes et al., 2024)","1918-2013","No"
"20","13","Soil water","W-02","Available water capacity at 30 to 60 cm depth","Available water capacity at depths of 30 to 60 cm represents the fraction of water that soil can store and release for plant use. It calculated as the difference between field capacity and permanent wilting point.","","SoilGrids250m, ISRIC (Hengl et al., 2017)","1950-2016","Yes"
"21","13","Soil water","W-03","Rooting zone water storage capacity","Rooting zone water storage capacity extends from the soil surface to the weathered bedrock and determines land-atmosphere exchange during dry periods. It is modelled based on the assumption that plants size their rooting depth such that the corresponding rooting zone water storage capacity is just large enough to maintain function under the expected maximum cumulative water deficit (CWD) occurring within a specified return period.","","Rooting zone water (Stocker et al., 2023)","2003-2018","Yes"
"22","13","Soil water","W-04","Plant-available soil water","Plant-available soil water (PASW) is the amount of stored water available for plant use. It is broadly defined as the difference between soil water content at field capacity (FC) and wilting point (WP) in the root zone. The geospatial information used a global map of a soil water retention model at different depths (0, 30, 60, and 100 cm) and a map of saturated hydraulic conductivity (Ksat). For the determination of the climatic water content, the number of consecutive days without rainfall was determined using multi-source weighted ensemble precipitation records for 37 years.","","Plant-available soil water (Gupta et al., 2023)","1979-2016","Yes"
"23","13","Irrigation","I-01","Area equipped with irrigation","Area Equipped with Irrigation represents spatial data with actively used irrigation and regions not actively cultivated but equipped with irrigation. It was developed using national and subnational irrigation statistics from 2000 to 2015 for 243 countries, drawn from an international database, national agricultural censuses, and government reports.","","Area Equipped with Irrigation (Mehta et al., 2024)","2000-2015","No"
