"hazard_group","dataset_or_indicator","definition_summary","source_label","reference_period_or_horizon","production_specific","processing_notes","known_issue_or_upgrade_need","code","annex_sequence","review_agent_version","resolution","baseline_dataset","baseline_period","future_dataset","future_period","future_scenario","cmip_version","downscaling_method","bias_correction_method","gcm_ensemble_used","evidence_status","evidence_notes"
"Changed rainfall","Annual rainfall coefficient of variation","Areas where coefficient of variation of annual rainfall exceeds 75th percentile globally","Legacy CCAFS rainfall variability layer","Historic","No","Used as proxy for future variability in inherited notes","Historic proxy mixed with future layers","R-03","11","cri-modernization-review v0.3.0","To do","Legacy CCAFS rainfall variability layer","Historic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","To do","Current layer lineage is only known at a high level; exact source dataset and resolution are still to do."
"Changed rainfall","Intra-annual variability","Between-year variability of available water supply","Aqueduct 4.0","2030","No","Water-availability variability metric","2030 horizon not aligned with 2050 threshold-flip layers","R-04","12","cri-modernization-review v0.3.0","Varies","Aqueduct 4.0 product","To do","Aqueduct 4.0 product","2030","To do","To do","To do","To do","Blocked","Unclear","Exact climate inputs, scenario mapping, and model list for the B4T slice have not yet been extracted."
"Changed rainfall","Seasonal variability","Within-year variability of available water supply","Aqueduct 4.0","2030","No","Water-availability variability metric","2030 horizon not aligned with 2050 threshold-flip layers","R-05","13","cri-modernization-review v0.3.0","Varies","Aqueduct 4.0 product","To do","Aqueduct 4.0 product","2030","To do","To do","To do","To do","Blocked","Unclear","Exact climate inputs, scenario mapping, and model list for the B4T slice have not yet been extracted."
"High temperature","Extreme humid heat days","Annual count of days where maximum wet bulb globe temperature exceeds dangerous thresholds","Current humid-heat layer (see CRI note)","1983-2016","No","Methods note says manually masked","Historic observational style layer mixed with future threshold layers","T-01","14","cri-modernization-review v0.3.0","To do","Current humid-heat layer","1983-2016","N/A","N/A","N/A","N/A","To do","To do","N/A","Unclear","Exact source dataset, variable derivation, and resolution still need to be pinned down from the current workflow."
"High temperature","Growing-season Tmax flip over 30C","Areas where average maximum daily temperature flips from less than 30 C to greater than 30 C during primary growing season","Legacy CCAFS / Thornton heat threshold layer","2050","No","Masked where length of growing period is greater than 40 days","Legacy future layer with older climate lineage","T-02","16","cri-modernization-review v0.3.0","To do","To do","To do","Legacy CCAFS / Thornton future layer","2050","To do","To do","To do","To do","Blocked","Unclear","Exact current baseline, future forcing, growing-season logic, bias correction, and GCM list remain unresolved."
"High temperature","LGP-linked temperature stress","Areas where length of growing period flips from greater than 120 days to less than 120 days","Current row meaning unclear","2050","No","Included in high-temperature section of appendix","Needs confirmation whether this is distinct hazard input or repeated LGP proxy","T-03","15","cri-modernization-review v0.3.0","To do","Blocked","Blocked","Blocked","2050","Blocked","Blocked","Blocked","Blocked","Blocked","Blocked","Row meaning is not yet clear enough to assign a trustworthy lineage."
"Salinity","Global map of salt-affected soils","Spatial distribution of salt-affected soils with conductivity sodium or pH thresholds","GSASmap / FAO Global Soil Partnership","1970-2005","No","Methods note says manually masked","Static long-window product may not reflect current or future salinity dynamics","S-01","17","cri-modernization-review v0.3.0","To do","GSASmap","1970-2005","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Unclear","Current dataset family is known, but exact downloadable asset and map resolution still need checking."
"Salinity","Global soil salinity","Electrical conductivity classes from slightly saline to extremely saline","ISRIC global soil salinity layer","1986-2016","No","Methods note says manually masked","Static product with different window than other hazards","S-02","18","cri-modernization-review v0.3.0","To do","ISRIC global soil salinity layer","1986-2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Unclear","Current dataset family is known, but exact asset, resolution, and derivation details still need checking."
"Soil water","Water retention volume at 1500 kPa and 30 to 60 cm depth","Capacity of soil to hold water and air","WoSIS-derived soil property layer","1918-2013","No","Derived from WoSIS profiles and random forest pedotransfer function","Very long reference period and heterogeneous source base","W-01","19","cri-modernization-review v0.3.0","To do","WoSIS-derived layer","1918-2013","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Unclear","Current dataset family is known, but exact gridded product, resolution, and operational extraction steps remain unclear."
"Soil water","Available water capacity at 30 to 60 cm depth","Fraction of water soil can store and release for plant use","SoilGrids250m","1950-2016","Yes","Field capacity minus permanent wilting point","Need confirmation of operational selection versus other soil-water products","W-02","20","cri-modernization-review v0.3.0","250 m","SoilGrids250m","1950-2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Unclear","Current dataset family is known, but exact variable mapping used in B4T still needs checking."
"Soil water","Rooting zone water storage capacity","Modeled root-zone storage required to maintain function under expected cumulative water deficit","Rooting zone water (Stocker et al. 2023)","2003-2018","Yes","Model-based root-zone storage product","Potentially more modern but still not aligned to future hazard horizons","W-03","21","cri-modernization-review v0.3.0","To do","Rooting zone water product","2003-2018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Blocked","Public dataset access path and exact operational use in the CRI are not yet verified."
"Soil water","Plant-available soil water","Stored water available for plant use in root zone","Plant-available soil water (Gupta et al. 2023)","1979-2016","Yes","Uses soil-water retention model plus rainfall-gap logic","Need confirmation of operational selection versus other soil-water products","W-04","22","cri-modernization-review v0.3.0","To do","Plant-available soil water product","1979-2016","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Blocked","Public dataset access path and exact operational use in the CRI are not yet verified."
"Irrigation","Area equipped with irrigation","Spatial data for actively used irrigation and non-active cultivated regions equipped with irrigation","Area equipped with irrigation (Mehta et al. 2024)","2000-2015","No","Used as irrigation potential proxy","Need confirmation of thresholding and how irrigation offsets are operationalized in HII","I-01","23","cri-modernization-review v0.3.0","To do","Area equipped with irrigation product","2000-2015","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Blocked","Public dataset access path and exact HII operational role are not yet verified."
